main.py --seed 7 --gamma 0.90

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, gamma=0.9, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 960000 | F 960000 | G 64000 | D 154 | EPS 0.001 | L 35005.799 | R 722.000 | Avg L 0.036 | Avg R 0.722
U 970000 | F 970000 | G 64666 | D 155 | EPS 0.001 | L 35342.418 | R 706.000 | Avg L 0.036 | Avg R 0.706
U 980000 | F 980000 | G 65333 | D 157 | EPS 0.001 | L 35692.569 | R 705.000 | Avg L 0.036 | Avg R 0.705
U 990000 | F 990000 | G 66000 | D 158 | EPS 0.001 | L 36038.781 | R 687.000 | Avg L 0.036 | Avg R 0.687
U 1000000 | F 1000000 | G 66666 | D 160 | EPS 0.001 | L 36373.929 | R 714.000 | Avg L 0.036 | Avg R 0.714
U 1010000 | F 1010000 | G 67333 | D 161 | EPS 0.001 | L 36712.078 | R 703.000 | Avg L 0.036 | Avg R 0.703
U 1020000 | F 1020000 | G 68000 | D 162 | EPS 0.001 | L 37060.412 | R 704.000 | Avg L 0.036 | Avg R 0.704
U 1030000 | F 1030000 | G 68666 | D 164 | EPS 0.001 | L 37416.797 | R 728.000 | Avg L 0.036 | Avg R 0.728
U 1040000 | F 1040000 | G 69333 | D 165 | EPS 0.001 | L 37744.734 | R 710.000 | Avg L 0.036 | Avg R 0.710
U 1050000 | F 1050000 | G 70000 | D 167 | EPS 0.001 | L 38062.168 | R 689.000 | Avg L 0.036 | Avg R 0.689
U 1060000 | F 1060000 | G 70666 | D 168 | EPS 0.001 | L 38411.778 | R 721.000 | Avg L 0.036 | Avg R 0.721
U 1070000 | F 1070000 | G 71333 | D 170 | EPS 0.001 | L 38749.325 | R 724.000 | Avg L 0.036 | Avg R 0.724
U 1080000 | F 1080000 | G 72000 | D 171 | EPS 0.001 | L 39068.269 | R 694.000 | Avg L 0.036 | Avg R 0.694
U 1090000 | F 1090000 | G 72666 | D 173 | EPS 0.001 | L 39399.877 | R 700.000 | Avg L 0.036 | Avg R 0.700
U 1100000 | F 1100000 | G 73333 | D 174 | EPS 0.001 | L 39715.174 | R 699.000 | Avg L 0.036 | Avg R 0.699
U 1110000 | F 1110000 | G 74000 | D 176 | EPS 0.001 | L 40024.479 | R 687.000 | Avg L 0.036 | Avg R 0.687
U 1120000 | F 1120000 | G 74666 | D 177 | EPS 0.001 | L 40341.334 | R 685.000 | Avg L 0.036 | Avg R 0.685
U 1130000 | F 1130000 | G 75333 | D 179 | EPS 0.001 | L 40664.615 | R 685.000 | Avg L 0.036 | Avg R 0.685
U 1140000 | F 1140000 | G 76000 | D 180 | EPS 0.001 | L 40994.573 | R 713.000 | Avg L 0.036 | Avg R 0.713
U 1150000 | F 1150000 | G 76666 | D 181 | EPS 0.001 | L 41309.787 | R 711.000 | Avg L 0.036 | Avg R 0.711
U 1160000 | F 1160000 | G 77333 | D 183 | EPS 0.001 | L 41620.531 | R 685.000 | Avg L 0.036 | Avg R 0.685
U 1170000 | F 1170000 | G 78000 | D 184 | EPS 0.001 | L 41924.841 | R 687.000 | Avg L 0.036 | Avg R 0.687
U 1180000 | F 1180000 | G 78666 | D 186 | EPS 0.001 | L 42222.143 | R 687.000 | Avg L 0.036 | Avg R 0.687
U 1190000 | F 1190000 | G 79333 | D 187 | EPS 0.001 | L 42509.829 | R 681.000 | Avg L 0.036 | Avg R 0.681
