main.py --seed 7 --gamma 1

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=1500, eps_start=1.0, frames=7500, games=500, gamma=1.0, log_interval=1, lr=10, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.999 | L 1.000 | R 1.000 | Avg L 1.000 | Avg R 1.000
U 22 | F 22 | G 7 | D 0 | EPS 0.986 | L 106.000 | R 6.000 | Avg L 15.143 | Avg R 0.857
U 23 | F 23 | G 7 | D 0 | EPS 0.985 | L 106.000 | R 6.000 | Avg L 15.143 | Avg R 0.857
U 24 | F 24 | G 8 | D 0 | EPS 0.985 | L 107.000 | R 7.000 | Avg L 13.375 | Avg R 0.875
U 25 | F 25 | G 8 | D 0 | EPS 0.984 | L 107.000 | R 7.000 | Avg L 13.375 | Avg R 0.875
U 26 | F 26 | G 8 | D 0 | EPS 0.983 | L 107.000 | R 7.000 | Avg L 13.375 | Avg R 0.875
U 27 | F 27 | G 9 | D 0 | EPS 0.983 | L -893.000 | R 7.000 | Avg L -99.222 | Avg R 0.778
U 28 | F 28 | G 9 | D 0 | EPS 0.982 | L -893.000 | R 7.000 | Avg L -99.222 | Avg R 0.778
U 29 | F 29 | G 9 | D 0 | EPS 0.981 | L -893.000 | R 7.000 | Avg L -99.222 | Avg R 0.778
U 30 | F 30 | G 10 | D 0 | EPS 0.981 | L -882.000 | R 8.000 | Avg L -88.200 | Avg R 0.800
U 31 | F 31 | G 10 | D 0 | EPS 0.980 | L -882.000 | R 8.000 | Avg L -88.200 | Avg R 0.800
U 32 | F 32 | G 10 | D 0 | EPS 0.979 | L -882.000 | R 8.000 | Avg L -88.200 | Avg R 0.800
U 33 | F 33 | G 11 | D 0 | EPS 0.979 | L -882.000 | R 8.000 | Avg L -80.182 | Avg R 0.727
U 34 | F 34 | G 11 | D 0 | EPS 0.978 | L -882.000 | R 8.000 | Avg L -80.182 | Avg R 0.727
U 35 | F 35 | G 11 | D 0 | EPS 0.977 | L -882.000 | R 8.000 | Avg L -80.182 | Avg R 0.727
U 36 | F 36 | G 12 | D 0 | EPS 0.977 | L -881.000 | R 9.000 | Avg L -73.417 | Avg R 0.750
U 37 | F 37 | G 12 | D 0 | EPS 0.976 | L -881.000 | R 9.000 | Avg L -73.417 | Avg R 0.750
U 38 | F 38 | G 12 | D 0 | EPS 0.975 | L -881.000 | R 9.000 | Avg L -73.417 | Avg R 0.750
U 39 | F 39 | G 13 | D 0 | EPS 0.975 | L -871.000 | R 9.000 | Avg L -67.000 | Avg R 0.692
U 40 | F 40 | G 13 | D 0 | EPS 0.974 | L -871.000 | R 9.000 | Avg L -67.000 | Avg R 0.692
U 41 | F 41 | G 13 | D 0 | EPS 0.973 | L -871.000 | R 9.000 | Avg L -67.000 | Avg R 0.692
U 42 | F 42 | G 14 | D 0 | EPS 0.973 | L 8050.000 | R 10.000 | Avg L 575.000 | Avg R 0.714
U 43 | F 43 | G 14 | D 0 | EPS 0.972 | L 8050.000 | R 10.000 | Avg L 575.000 | Avg R 0.714
U 44 | F 44 | G 14 | D 0 | EPS 0.971 | L 8050.000 | R 10.000 | Avg L 575.000 | Avg R 0.714
U 45 | F 45 | G 15 | D 0 | EPS 0.971 | L 8151.000 | R 11.000 | Avg L 543.400 | Avg R 0.733
U 46 | F 46 | G 15 | D 0 | EPS 0.970 | L 8151.000 | R 11.000 | Avg L 543.400 | Avg R 0.733
U 47 | F 47 | G 15 | D 0 | EPS 0.969 | L 8151.000 | R 11.000 | Avg L 543.400 | Avg R 0.733
U 48 | F 48 | G 16 | D 0 | EPS 0.969 | L -72848.000 | R 12.000 | Avg L -4553.000 | Avg R 0.750
U 49 | F 49 | G 16 | D 0 | EPS 0.968 | L -72848.000 | R 12.000 | Avg L -4553.000 | Avg R 0.750
U 50 | F 50 | G 16 | D 0 | EPS 0.967 | L -72848.000 | R 12.000 | Avg L -4553.000 | Avg R 0.750
U 51 | F 51 | G 17 | D 0 | EPS 0.967 | L 656152.000 | R 12.000 | Avg L 38597.176 | Avg R 0.706
U 52 | F 52 | G 17 | D 0 | EPS 0.966 | L 656152.000 | R 12.000 | Avg L 38597.176 | Avg R 0.706
U 53 | F 53 | G 17 | D 0 | EPS 0.965 | L 656152.000 | R 12.000 | Avg L 38597.176 | Avg R 0.706
U 54 | F 54 | G 18 | D 0 | EPS 0.965 | L 656152.000 | R 12.000 | Avg L 36452.889 | Avg R 0.667
U 55 | F 55 | G 18 | D 0 | EPS 0.964 | L 656152.000 | R 12.000 | Avg L 36452.889 | Avg R 0.667
U 56 | F 56 | G 18 | D 0 | EPS 0.963 | L 656152.000 | R 12.000 | Avg L 36452.889 | Avg R 0.667
U 57 | F 57 | G 19 | D 0 | EPS 0.963 | L 7217152.000 | R 12.000 | Avg L 379850.105 | Avg R 0.632
U 58 | F 58 | G 19 | D 0 | EPS 0.962 | L 7217152.000 | R 12.000 | Avg L 379850.105 | Avg R 0.632
U 59 | F 59 | G 19 | D 0 | EPS 0.961 | L 7217152.000 | R 12.000 | Avg L 379850.105 | Avg R 0.632
U 60 | F 60 | G 20 | D 0 | EPS 0.961 | L 7216143.000 | R 13.000 | Avg L 360807.150 | Avg R 0.650
U 61 | F 61 | G 20 | D 0 | EPS 0.960 | L 7216143.000 | R 13.000 | Avg L 360807.150 | Avg R 0.650
U 62 | F 62 | G 20 | D 0 | EPS 0.959 | L 7216143.000 | R 13.000 | Avg L 360807.150 | Avg R 0.650
U 63 | F 63 | G 21 | D 0 | EPS 0.959 | L 7216153.000 | R 13.000 | Avg L 343626.333 | Avg R 0.619
U 64 | F 64 | G 21 | D 0 | EPS 0.958 | L 7216153.000 | R 13.000 | Avg L 343626.333 | Avg R 0.619
U 65 | F 65 | G 21 | D 0 | EPS 0.957 | L 7216153.000 | R 13.000 | Avg L 343626.333 | Avg R 0.619
U 66 | F 66 | G 22 | D 0 | EPS 0.957 | L 7216154.000 | R 14.000 | Avg L 328007.000 | Avg R 0.636
U 67 | F 67 | G 22 | D 0 | EPS 0.956 | L 7216154.000 | R 14.000 | Avg L 328007.000 | Avg R 0.636
U 68 | F 68 | G 22 | D 0 | EPS 0.955 | L 7216154.000 | R 14.000 | Avg L 328007.000 | Avg R 0.636
U 69 | F 69 | G 23 | D 0 | EPS 0.955 | L 7225155.000 | R 15.000 | Avg L 314137.174 | Avg R 0.652
U 70 | F 70 | G 23 | D 0 | EPS 0.954 | L 7225155.000 | R 15.000 | Avg L 314137.174 | Avg R 0.652
U 71 | F 71 | G 23 | D 0 | EPS 0.953 | L 7225155.000 | R 15.000 | Avg L 314137.174 | Avg R 0.652
U 72 | F 72 | G 24 | D 0 | EPS 0.953 | L 7225155.000 | R 15.000 | Avg L 301048.125 | Avg R 0.625
U 73 | F 73 | G 24 | D 0 | EPS 0.952 | L 7225155.000 | R 15.000 | Avg L 301048.125 | Avg R 0.625
U 74 | F 74 | G 24 | D 0 | EPS 0.951 | L 7225155.000 | R 15.000 | Avg L 301048.125 | Avg R 0.625
U 75 | F 75 | G 25 | D 0 | EPS 0.951 | L 7225155.000 | R 15.000 | Avg L 289006.200 | Avg R 0.600
U 76 | F 76 | G 25 | D 0 | EPS 0.950 | L 7225155.000 | R 15.000 | Avg L 289006.200 | Avg R 0.600
U 77 | F 77 | G 25 | D 0 | EPS 0.949 | L 7225155.000 | R 15.000 | Avg L 289006.200 | Avg R 0.600
U 78 | F 78 | G 26 | D 0 | EPS 0.949 | L 7144155.000 | R 15.000 | Avg L 274775.192 | Avg R 0.577
U 79 | F 79 | G 26 | D 0 | EPS 0.948 | L 7144155.000 | R 15.000 | Avg L 274775.192 | Avg R 0.577
U 80 | F 80 | G 26 | D 0 | EPS 0.947 | L 7144155.000 | R 15.000 | Avg L 274775.192 | Avg R 0.577
U 81 | F 81 | G 27 | D 0 | EPS 0.947 | L 583156.000 | R 16.000 | Avg L 21598.370 | Avg R 0.593
U 82 | F 82 | G 27 | D 0 | EPS 0.946 | L 583156.000 | R 16.000 | Avg L 21598.370 | Avg R 0.593
U 83 | F 83 | G 27 | D 0 | EPS 0.945 | L 583156.000 | R 16.000 | Avg L 21598.370 | Avg R 0.593
U 84 | F 84 | G 28 | D 0 | EPS 0.945 | L 583156.000 | R 16.000 | Avg L 20827.000 | Avg R 0.571
U 85 | F 85 | G 28 | D 0 | EPS 0.944 | L 583156.000 | R 16.000 | Avg L 20827.000 | Avg R 0.571
U 86 | F 86 | G 28 | D 0 | EPS 0.943 | L 583156.000 | R 16.000 | Avg L 20827.000 | Avg R 0.571
U 87 | F 87 | G 29 | D 0 | EPS 0.943 | L 583256.000 | R 16.000 | Avg L 20112.276 | Avg R 0.552
U 88 | F 88 | G 29 | D 0 | EPS 0.942 | L 583256.000 | R 16.000 | Avg L 20112.276 | Avg R 0.552
U 89 | F 89 | G 29 | D 0 | EPS 0.941 | L 583256.000 | R 16.000 | Avg L 20112.276 | Avg R 0.552
U 90 | F 90 | G 30 | D 0 | EPS 0.941 | L 59632247.000 | R 17.000 | Avg L 1987741.567 | Avg R 0.567
U 91 | F 91 | G 30 | D 0 | EPS 0.940 | L 59632247.000 | R 17.000 | Avg L 1987741.567 | Avg R 0.567
U 92 | F 92 | G 30 | D 0 | EPS 0.939 | L 59632247.000 | R 17.000 | Avg L 1987741.567 | Avg R 0.567
U 93 | F 93 | G 31 | D 0 | EPS 0.939 | L 60361158.000 | R 18.000 | Avg L 1947134.129 | Avg R 0.581
U 94 | F 94 | G 31 | D 0 | EPS 0.938 | L 60361158.000 | R 18.000 | Avg L 1947134.129 | Avg R 0.581
U 95 | F 95 | G 31 | D 0 | EPS 0.937 | L 60361158.000 | R 18.000 | Avg L 1947134.129 | Avg R 0.581
U 96 | F 96 | G 32 | D 0 | EPS 0.937 | L 60360158.000 | R 18.000 | Avg L 1886254.938 | Avg R 0.562
U 97 | F 97 | G 32 | D 0 | EPS 0.936 | L 60360158.000 | R 18.000 | Avg L 1886254.938 | Avg R 0.562
U 98 | F 98 | G 32 | D 0 | EPS 0.935 | L 60360158.000 | R 18.000 | Avg L 1886254.938 | Avg R 0.562
U 99 | F 99 | G 33 | D 0 | EPS 0.935 | L -595730741.000 | R 19.000 | Avg L -18052446.697 | Avg R 0.576
U 100 | F 100 | G 33 | D 0 | EPS 0.934 | L -595730741.000 | R 19.000 | Avg L -18052446.697 | Avg R 0.576
U 101 | F 101 | G 33 | D 0 | EPS 0.933 | L -595730741.000 | R 19.000 | Avg L -18052446.697 | Avg R 0.576
U 102 | F 102 | G 34 | D 0 | EPS 0.933 | L -1127170220.000 | R 20.000 | Avg L -33152065.294 | Avg R 0.588
U 103 | F 103 | G 34 | D 0 | EPS 0.932 | L -1127170220.000 | R 20.000 | Avg L -33152065.294 | Avg R 0.588
U 104 | F 104 | G 34 | D 0 | EPS 0.931 | L -1127170220.000 | R 20.000 | Avg L -33152065.294 | Avg R 0.588
U 105 | F 105 | G 35 | D 0 | EPS 0.931 | L 4777647880.000 | R 20.000 | Avg L 136504225.143 | Avg R 0.571
U 106 | F 106 | G 35 | D 0 | EPS 0.930 | L 4777647880.000 | R 20.000 | Avg L 136504225.143 | Avg R 0.571
U 107 | F 107 | G 35 | D 0 | EPS 0.929 | L 4777647880.000 | R 20.000 | Avg L 136504225.143 | Avg R 0.571
U 108 | F 108 | G 36 | D 0 | EPS 0.929 | L 9560601590.000 | R 20.000 | Avg L 265572266.389 | Avg R 0.556
U 109 | F 109 | G 36 | D 0 | EPS 0.928 | L 9560601590.000 | R 20.000 | Avg L 265572266.389 | Avg R 0.556
U 110 | F 110 | G 36 | D 0 | EPS 0.927 | L 9560601590.000 | R 20.000 | Avg L 265572266.389 | Avg R 0.556
U 111 | F 111 | G 37 | D 0 | EPS 0.927 | L -43582761409.000 | R 21.000 | Avg L -1177912470.514 | Avg R 0.568
U 112 | F 112 | G 37 | D 0 | EPS 0.926 | L -43582761409.000 | R 21.000 | Avg L -1177912470.514 | Avg R 0.568
U 113 | F 113 | G 37 | D 0 | EPS 0.925 | L -43582761409.000 | R 21.000 | Avg L -1177912470.514 | Avg R 0.568
U 114 | F 114 | G 38 | D 0 | EPS 0.925 | L -43589323409.000 | R 21.000 | Avg L -1147087458.132 | Avg R 0.553
U 115 | F 115 | G 38 | D 0 | EPS 0.924 | L -43589323409.000 | R 21.000 | Avg L -1147087458.132 | Avg R 0.553
U 116 | F 116 | G 38 | D 0 | EPS 0.923 | L -43589323409.000 | R 21.000 | Avg L -1147087458.132 | Avg R 0.553
U 117 | F 117 | G 39 | D 0 | EPS 0.923 | L -86636036408.000 | R 22.000 | Avg L -2221436830.974 | Avg R 0.564
U 118 | F 118 | G 39 | D 0 | EPS 0.922 | L -86636036408.000 | R 22.000 | Avg L -2221436830.974 | Avg R 0.564
U 119 | F 119 | G 39 | D 0 | EPS 0.921 | L -86636036408.000 | R 22.000 | Avg L -2221436830.974 | Avg R 0.564
U 120 | F 120 | G 40 | D 0 | EPS 0.921 | L 300784380682.000 | R 22.000 | Avg L 7519609517.050 | Avg R 0.550
U 121 | F 121 | G 40 | D 0 | EPS 0.920 | L 300784380682.000 | R 22.000 | Avg L 7519609517.050 | Avg R 0.550
U 122 | F 122 | G 40 | D 0 | EPS 0.919 | L 300784380682.000 | R 22.000 | Avg L 7519609517.050 | Avg R 0.550
U 123 | F 123 | G 41 | D 0 | EPS 0.919 | L 300843438682.000 | R 22.000 | Avg L 7337644845.902 | Avg R 0.537
U 124 | F 124 | G 41 | D 0 | EPS 0.918 | L 300843438682.000 | R 22.000 | Avg L 7337644845.902 | Avg R 0.537
U 125 | F 125 | G 41 | D 0 | EPS 0.917 | L 300843438682.000 | R 22.000 | Avg L 7337644845.902 | Avg R 0.537
U 126 | F 126 | G 42 | D 0 | EPS 0.917 | L -3185940183107.000 | R 23.000 | Avg L -75855718645.405 | Avg R 0.548
U 127 | F 127 | G 42 | D 0 | EPS 0.916 | L -3185940183107.000 | R 23.000 | Avg L -75855718645.405 | Avg R 0.548
U 128 | F 128 | G 42 | D 0 | EPS 0.915 | L -3185940183107.000 | R 23.000 | Avg L -75855718645.405 | Avg R 0.548
U 129 | F 129 | G 43 | D 0 | EPS 0.915 | L -2707649917107.000 | R 23.000 | Avg L -62968602723.419 | Avg R 0.535
U 130 | F 130 | G 43 | D 0 | EPS 0.914 | L -2707649917107.000 | R 23.000 | Avg L -62968602723.419 | Avg R 0.535
U 131 | F 131 | G 43 | D 0 | EPS 0.913 | L -2707649917107.000 | R 23.000 | Avg L -62968602723.419 | Avg R 0.535
U 132 | F 132 | G 44 | D 0 | EPS 0.913 | L -7012852800206.000 | R 24.000 | Avg L -159383018186.500 | Avg R 0.545
U 133 | F 133 | G 44 | D 0 | EPS 0.912 | L -7012852800206.000 | R 24.000 | Avg L -159383018186.500 | Avg R 0.545
U 134 | F 134 | G 44 | D 0 | EPS 0.911 | L -7012852800206.000 | R 24.000 | Avg L -159383018186.500 | Avg R 0.545
U 135 | F 135 | G 45 | D 0 | EPS 0.911 | L 24368200976075.000 | R 25.000 | Avg L 541515577246.111 | Avg R 0.556
U 136 | F 136 | G 45 | D 0 | EPS 0.910 | L 24368200976075.000 | R 25.000 | Avg L 541515577246.111 | Avg R 0.556
U 137 | F 137 | G 45 | D 0 | EPS 0.909 | L 24368200976075.000 | R 25.000 | Avg L 541515577246.111 | Avg R 0.556
U 138 | F 138 | G 46 | D 0 | EPS 0.909 | L 24367669454696.000 | R 26.000 | Avg L 529731944667.304 | Avg R 0.565
U 139 | F 139 | G 46 | D 0 | EPS 0.908 | L 24367669454696.000 | R 26.000 | Avg L 529731944667.304 | Avg R 0.565
U 140 | F 140 | G 46 | D 0 | EPS 0.907 | L 24367669454696.000 | R 26.000 | Avg L 529731944667.304 | Avg R 0.565
U 141 | F 141 | G 47 | D 0 | EPS 0.907 | L 24372453161607.000 | R 27.000 | Avg L 518562833225.681 | Avg R 0.574
U 142 | F 142 | G 47 | D 0 | EPS 0.906 | L 24372453161607.000 | R 27.000 | Avg L 518562833225.681 | Avg R 0.574
U 143 | F 143 | G 47 | D 0 | EPS 0.905 | L 24372453161607.000 | R 27.000 | Avg L 518562833225.681 | Avg R 0.574
U 144 | F 144 | G 48 | D 0 | EPS 0.905 | L 24329399813907.000 | R 27.000 | Avg L 506862496123.062 | Avg R 0.562
U 145 | F 145 | G 48 | D 0 | EPS 0.904 | L 24329399813907.000 | R 27.000 | Avg L 506862496123.062 | Avg R 0.562
U 146 | F 146 | G 48 | D 0 | EPS 0.903 | L 24329399813907.000 | R 27.000 | Avg L 506862496123.062 | Avg R 0.562
U 147 | F 147 | G 49 | D 0 | EPS 0.903 | L 24716879935007.000 | R 27.000 | Avg L 504426121122.592 | Avg R 0.551
U 148 | F 148 | G 49 | D 0 | EPS 0.902 | L 24716879935007.000 | R 27.000 | Avg L 504426121122.592 | Avg R 0.551
U 149 | F 149 | G 49 | D 0 | EPS 0.901 | L 24716879935007.000 | R 27.000 | Avg L 504426121122.592 | Avg R 0.551
U 150 | F 150 | G 50 | D 0 | EPS 0.901 | L 21229558846008.000 | R 28.000 | Avg L 424591176920.160 | Avg R 0.560
U 151 | F 151 | G 50 | D 0 | EPS 0.900 | L 21229558846008.000 | R 28.000 | Avg L 424591176920.160 | Avg R 0.560
U 152 | F 152 | G 50 | D 0 | EPS 0.899 | L 21229558846008.000 | R 28.000 | Avg L 424591176920.160 | Avg R 0.560
U 153 | F 153 | G 51 | D 0 | EPS 0.899 | L -261199925147992.000 | R 28.000 | Avg L -5121567159764.549 | Avg R 0.549
U 154 | F 154 | G 51 | D 0 | EPS 0.898 | L -261199925147992.000 | R 28.000 | Avg L -5121567159764.549 | Avg R 0.549
U 155 | F 155 | G 51 | D 0 | EPS 0.897 | L -261199925147992.000 | R 28.000 | Avg L -5121567159764.549 | Avg R 0.549
U 156 | F 156 | G 52 | D 0 | EPS 0.897 | L -222452508701992.000 | R 28.000 | Avg L -4277932859653.692 | Avg R 0.538
U 157 | F 157 | G 52 | D 0 | EPS 0.896 | L -222452508701992.000 | R 28.000 | Avg L -4277932859653.692 | Avg R 0.538
U 158 | F 158 | G 52 | D 0 | EPS 0.895 | L -222452508701992.000 | R 28.000 | Avg L -4277932859653.692 | Avg R 0.538
U 159 | F 159 | G 53 | D 0 | EPS 0.895 | L 2916088223423998.000 | R 28.000 | Avg L 55020532517433.922 | Avg R 0.528
U 160 | F 160 | G 53 | D 0 | EPS 0.894 | L 2916088223423998.000 | R 28.000 | Avg L 55020532517433.922 | Avg R 0.528
U 161 | F 161 | G 53 | D 0 | EPS 0.893 | L 2916088223423998.000 | R 28.000 | Avg L 55020532517433.922 | Avg R 0.528
U 162 | F 162 | G 54 | D 0 | EPS 0.893 | L -25330778365710000.000 | R 29.000 | Avg L -469088488253888.875 | Avg R 0.537
U 163 | F 163 | G 54 | D 0 | EPS 0.892 | L -25330778365710000.000 | R 29.000 | Avg L -469088488253888.875 | Avg R 0.537
U 164 | F 164 | G 54 | D 0 | EPS 0.891 | L -25330778365710000.000 | R 29.000 | Avg L -469088488253888.875 | Avg R 0.537
U 165 | F 165 | G 55 | D 0 | EPS 0.891 | L -25299392475973808.000 | R 30.000 | Avg L -459988954108614.688 | Avg R 0.545
U 166 | F 166 | G 55 | D 0 | EPS 0.890 | L -25299392475973808.000 | R 30.000 | Avg L -459988954108614.688 | Avg R 0.545
U 167 | F 167 | G 55 | D 0 | EPS 0.889 | L -25299392475973808.000 | R 30.000 | Avg L -459988954108614.688 | Avg R 0.545
U 168 | F 168 | G 56 | D 0 | EPS 0.889 | L 228922406235742144.000 | R 30.000 | Avg L 4087900111352538.500 | Avg R 0.536
U 169 | F 169 | G 56 | D 0 | EPS 0.888 | L 228922406235742144.000 | R 30.000 | Avg L 4087900111352538.500 | Avg R 0.536
U 170 | F 170 | G 56 | D 0 | EPS 0.887 | L 228922406235742144.000 | R 30.000 | Avg L 4087900111352538.500 | Avg R 0.536
U 171 | F 171 | G 57 | D 0 | EPS 0.887 | L 228639933228693344.000 | R 31.000 | Avg L 4011226898749006.000 | Avg R 0.544
U 172 | F 172 | G 57 | D 0 | EPS 0.886 | L 228639933228693344.000 | R 31.000 | Avg L 4011226898749006.000 | Avg R 0.544
U 173 | F 173 | G 57 | D 0 | EPS 0.885 | L 228639933228693344.000 | R 31.000 | Avg L 4011226898749006.000 | Avg R 0.544
U 174 | F 174 | G 58 | D 0 | EPS 0.885 | L -2059355862878776576.000 | R 31.000 | Avg L -35506135566875460.000 | Avg R 0.534
U 175 | F 175 | G 58 | D 0 | EPS 0.884 | L -2059355862878776576.000 | R 31.000 | Avg L -35506135566875460.000 | Avg R 0.534
U 176 | F 176 | G 58 | D 0 | EPS 0.883 | L -2059355862878776576.000 | R 31.000 | Avg L -35506135566875460.000 | Avg R 0.534
U 177 | F 177 | G 59 | D 0 | EPS 0.883 | L 18532609833360715776.000 | R 32.000 | Avg L 314112031073910464.000 | Avg R 0.542
U 178 | F 178 | G 59 | D 0 | EPS 0.882 | L 18532609833360715776.000 | R 32.000 | Avg L 314112031073910464.000 | Avg R 0.542
U 179 | F 179 | G 59 | D 0 | EPS 0.881 | L 18532609833360715776.000 | R 32.000 | Avg L 314112031073910464.000 | Avg R 0.542
U 180 | F 180 | G 60 | D 0 | EPS 0.881 | L -166795081432794791936.000 | R 32.000 | Avg L -2779918023879912960.000 | Avg R 0.533
U 181 | F 181 | G 60 | D 0 | EPS 0.880 | L -166795081432794791936.000 | R 32.000 | Avg L -2779918023879912960.000 | Avg R 0.533
U 182 | F 182 | G 60 | D 0 | EPS 0.879 | L -166795081432794791936.000 | R 32.000 | Avg L -2779918023879912960.000 | Avg R 0.533
U 183 | F 183 | G 61 | D 0 | EPS 0.879 | L 1501154139962604519424.000 | R 32.000 | Avg L 24609084261682040832.000 | Avg R 0.525
U 184 | F 184 | G 61 | D 0 | EPS 0.878 | L 1501154139962604519424.000 | R 32.000 | Avg L 24609084261682040832.000 | Avg R 0.525
U 185 | F 185 | G 61 | D 0 | EPS 0.877 | L 1501154139962604519424.000 | R 32.000 | Avg L 24609084261682040832.000 | Avg R 0.525
U 186 | F 186 | G 62 | D 0 | EPS 0.877 | L -13510388852595988889600.000 | R 32.000 | Avg L -217909497622515941376.000 | Avg R 0.516
U 187 | F 187 | G 62 | D 0 | EPS 0.876 | L -13510388852595988889600.000 | R 32.000 | Avg L -217909497622515941376.000 | Avg R 0.516
U 188 | F 188 | G 62 | D 0 | EPS 0.875 | L -13510388852595988889600.000 | R 32.000 | Avg L -217909497622515941376.000 | Avg R 0.516
U 189 | F 189 | G 63 | D 0 | EPS 0.875 | L -13510386310730632658944.000 | R 33.000 | Avg L -214450576360803696640.000 | Avg R 0.524
U 190 | F 190 | G 63 | D 0 | EPS 0.874 | L -13510386310730632658944.000 | R 33.000 | Avg L -214450576360803696640.000 | Avg R 0.524
U 191 | F 191 | G 63 | D 0 | EPS 0.873 | L -13510386310730632658944.000 | R 33.000 | Avg L -214450576360803696640.000 | Avg R 0.524
U 192 | F 192 | G 64 | D 0 | EPS 0.873 | L -13510409191044205772800.000 | R 34.000 | Avg L -211100143610065715200.000 | Avg R 0.531
U 193 | F 193 | G 64 | D 0 | EPS 0.872 | L -13510409191044205772800.000 | R 34.000 | Avg L -211100143610065715200.000 | Avg R 0.531
U 194 | F 194 | G 64 | D 0 | EPS 0.871 | L -13510409191044205772800.000 | R 34.000 | Avg L -211100143610065715200.000 | Avg R 0.531
U 195 | F 195 | G 65 | D 0 | EPS 0.871 | L 121593477741983146442752.000 | R 35.000 | Avg L 1870668888338202361856.000 | Avg R 0.538
U 196 | F 196 | G 65 | D 0 | EPS 0.870 | L 121593477741983146442752.000 | R 35.000 | Avg L 1870668888338202361856.000 | Avg R 0.538
U 197 | F 197 | G 65 | D 0 | EPS 0.869 | L 121593477741983146442752.000 | R 35.000 | Avg L 1870668888338202361856.000 | Avg R 0.538
U 198 | F 198 | G 66 | D 0 | EPS 0.869 | L -1094341504655263182880768.000 | R 36.000 | Avg L -16580931888716108005376.000 | Avg R 0.545
U 199 | F 199 | G 66 | D 0 | EPS 0.868 | L -1094341504655263182880768.000 | R 36.000 | Avg L -16580931888716108005376.000 | Avg R 0.545
U 200 | F 200 | G 66 | D 0 | EPS 0.867 | L -1094341504655263182880768.000 | R 36.000 | Avg L -16580931888716108005376.000 | Avg R 0.545
U 201 | F 201 | G 67 | D 0 | EPS 0.867 | L 108339807151892384293322752.000 | R 37.000 | Avg L 1617012047043169894793216.000 | Avg R 0.552
U 202 | F 202 | G 67 | D 0 | EPS 0.866 | L 108339807151892384293322752.000 | R 37.000 | Avg L 1617012047043169894793216.000 | Avg R 0.552
U 203 | F 203 | G 67 | D 0 | EPS 0.865 | L 108339807151892384293322752.000 | R 37.000 | Avg L 1617012047043169894793216.000 | Avg R 0.552
U 204 | F 204 | G 68 | D 0 | EPS 0.865 | L 108339805298586989314965504.000 | R 37.000 | Avg L 1593232430861573498601472.000 | Avg R 0.544
