32,32,10,0,0.9793333333333334,0.1,-6.261,4,-0.6261,0.4,-6.261,4,-0.6261,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
33,33,10,0,0.9786666666666667,0.1,-6.261,4,-0.6261,0.4,-6.261,4,-0.6261,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
33,33,11,0,0.978,0.1,-7.2529,4,-0.6593545454545455,0.36363636363636365,-7.2529,4,-0.659354545455,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
34,34,11,0,0.978,0.1,-7.2529,4,-0.6593545454545455,0.36363636363636365,-7.2529,4,-0.659354545455,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
35,35,11,0,0.9773333333333334,0.1,-7.2529,4,-0.6593545454545455,0.36363636363636365,-7.2529,4,-0.659354545455,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
36,36,11,0,0.9766666666666667,0.1,-7.2529,4,-0.6593545454545455,0.36363636363636365,-7.2529,4,-0.659354545455,0.363636363636
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
36,36,12,0,0.976,0.1,-8.22751,4,-0.6856258333333334,0.3333333333333333,-8.22751,4,-0.685625833333,0.333333333333
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
37,37,12,0,0.976,0.1,-8.22751,4,-0.6856258333333334,0.3333333333333333,-8.22751,4,-0.685625833333,0.333333333333
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
38,38,12,0,0.9753333333333334,0.1,-8.22751,4,-0.6856258333333334,0.3333333333333333,-8.22751,4,-0.685625833333,0.333333333333
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
39,39,12,0,0.9746666666666667,0.1,-8.22751,4,-0.6856258333333334,0.3333333333333333,-8.22751,4,-0.685625833333,0.333333333333
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
39,39,13,0,0.974,0.1,-8.215559,5,-0.6319660769230769,0.38461538461538464,-8.215559,5,-0.631966076923,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
40,40,13,0,0.974,0.1,-8.215559,5,-0.6319660769230769,0.38461538461538464,-8.215559,5,-0.631966076923,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
41,41,13,0,0.9733333333333334,0.1,-8.215559,5,-0.6319660769230769,0.38461538461538464,-8.215559,5,-0.631966076923,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
42,42,13,0,0.9726666666666667,0.1,-8.215559,5,-0.6319660769230769,0.38461538461538464,-8.215559,5,-0.631966076923,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
42,42,14,0,0.972,0.1,-9.0130031,5,-0.6437859357142858,0.35714285714285715,-9.0130031,5,-0.643785935714,0.357142857143
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
43,43,14,0,0.972,0.1,-9.0130031,5,-0.6437859357142858,0.35714285714285715,-9.0130031,5,-0.643785935714,0.357142857143
