main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=6000, eps_start=1.0, frames=45000, games=500, gamma=1.0, log_interval=1, lr=0, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 1.000 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 102 | F 102 | G 33 | D 0 | EPS 0.983 | L -19.000 | R 14.000 | Avg L -0.576 | Avg R 0.424
U 102 | F 102 | G 34 | D 0 | EPS 0.983 | L -20.000 | R 14.000 | Avg L -0.588 | Avg R 0.412
U 103 | F 103 | G 34 | D 0 | EPS 0.983 | L -20.000 | R 14.000 | Avg L -0.588 | Avg R 0.412
U 104 | F 104 | G 34 | D 0 | EPS 0.983 | L -20.000 | R 14.000 | Avg L -0.588 | Avg R 0.412
U 105 | F 105 | G 34 | D 0 | EPS 0.983 | L -20.000 | R 14.000 | Avg L -0.588 | Avg R 0.412
U 105 | F 105 | G 35 | D 0 | EPS 0.983 | L -20.000 | R 15.000 | Avg L -0.571 | Avg R 0.429
U 106 | F 106 | G 35 | D 0 | EPS 0.983 | L -20.000 | R 15.000 | Avg L -0.571 | Avg R 0.429
U 107 | F 107 | G 35 | D 0 | EPS 0.982 | L -20.000 | R 15.000 | Avg L -0.571 | Avg R 0.429
U 108 | F 108 | G 35 | D 0 | EPS 0.982 | L -20.000 | R 15.000 | Avg L -0.571 | Avg R 0.429
U 108 | F 108 | G 36 | D 0 | EPS 0.982 | L -20.000 | R 16.000 | Avg L -0.556 | Avg R 0.444
U 109 | F 109 | G 36 | D 0 | EPS 0.982 | L -20.000 | R 16.000 | Avg L -0.556 | Avg R 0.444
U 110 | F 110 | G 36 | D 0 | EPS 0.982 | L -20.000 | R 16.000 | Avg L -0.556 | Avg R 0.444
U 111 | F 111 | G 36 | D 0 | EPS 0.982 | L -20.000 | R 16.000 | Avg L -0.556 | Avg R 0.444
U 111 | F 111 | G 37 | D 0 | EPS 0.982 | L -20.000 | R 17.000 | Avg L -0.541 | Avg R 0.459
U 112 | F 112 | G 37 | D 0 | EPS 0.982 | L -20.000 | R 17.000 | Avg L -0.541 | Avg R 0.459
