main.py --seed 7 --gamma 1

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=1500000, eps_start=1.0, frames=3000000, games=500, gamma=1.0, log_interval=10000, lr=1e-06, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 1230000 | F 1230000 | G 82000 | D 153 | EPS 0.180 | L 318.000 | R 318.000 | Avg L 0.318 | Avg R 0.318
U 1240000 | F 1240000 | G 82666 | D 154 | EPS 0.173 | L 321.000 | R 321.000 | Avg L 0.321 | Avg R 0.321
U 1250000 | F 1250000 | G 83333 | D 156 | EPS 0.167 | L 317.999 | R 318.000 | Avg L 0.318 | Avg R 0.318
U 1260000 | F 1260000 | G 84000 | D 157 | EPS 0.160 | L 343.002 | R 343.000 | Avg L 0.343 | Avg R 0.343
U 1270000 | F 1270000 | G 84666 | D 158 | EPS 0.153 | L 312.001 | R 312.000 | Avg L 0.312 | Avg R 0.312
U 1280000 | F 1280000 | G 85333 | D 160 | EPS 0.147 | L 290.997 | R 291.000 | Avg L 0.291 | Avg R 0.291
U 1290000 | F 1290000 | G 86000 | D 161 | EPS 0.140 | L 277.998 | R 278.000 | Avg L 0.278 | Avg R 0.278
U 1300000 | F 1300000 | G 86666 | D 162 | EPS 0.133 | L 294.002 | R 294.000 | Avg L 0.294 | Avg R 0.294
U 1310000 | F 1310000 | G 87333 | D 163 | EPS 0.127 | L 337.002 | R 337.000 | Avg L 0.337 | Avg R 0.337
U 1320000 | F 1320000 | G 88000 | D 164 | EPS 0.120 | L 327.001 | R 327.000 | Avg L 0.327 | Avg R 0.327
U 1330000 | F 1330000 | G 88666 | D 166 | EPS 0.113 | L 313.002 | R 313.000 | Avg L 0.313 | Avg R 0.313
U 1340000 | F 1340000 | G 89333 | D 167 | EPS 0.107 | L 309.004 | R 309.000 | Avg L 0.309 | Avg R 0.309
U 1350000 | F 1350000 | G 90000 | D 168 | EPS 0.100 | L 309.001 | R 309.000 | Avg L 0.309 | Avg R 0.309
U 1360000 | F 1360000 | G 90666 | D 169 | EPS 0.093 | L 304.001 | R 304.000 | Avg L 0.304 | Avg R 0.304
U 1370000 | F 1370000 | G 91333 | D 170 | EPS 0.087 | L 298.001 | R 298.000 | Avg L 0.298 | Avg R 0.298
U 1380000 | F 1380000 | G 92000 | D 172 | EPS 0.080 | L 287.998 | R 288.000 | Avg L 0.288 | Avg R 0.288
U 1390000 | F 1390000 | G 92666 | D 173 | EPS 0.073 | L 298.001 | R 298.000 | Avg L 0.298 | Avg R 0.298
U 1400000 | F 1400000 | G 93333 | D 174 | EPS 0.067 | L 288.003 | R 288.000 | Avg L 0.288 | Avg R 0.288
