main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=7500, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 158 | F 158 | G 10 | D 0 | EPS 0.791 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 159 | F 159 | G 10 | D 0 | EPS 0.789 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 160 | F 160 | G 10 | D 0 | EPS 0.788 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 161 | F 161 | G 10 | D 0 | EPS 0.787 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 162 | F 162 | G 10 | D 0 | EPS 0.785 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 163 | F 163 | G 10 | D 0 | EPS 0.784 | L 2.050 | R 2.000 | Avg L 0.013 | Avg R 0.200
U 164 | F 164 | G 10 | D 0 | EPS 0.783 | L 2.050 | R 2.000 | Avg L 0.012 | Avg R 0.200
U 165 | F 165 | G 11 | D 0 | EPS 0.781 | L 1.050 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 166 | F 166 | G 11 | D 0 | EPS 0.780 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 167 | F 167 | G 11 | D 0 | EPS 0.779 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 168 | F 168 | G 11 | D 0 | EPS 0.777 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 169 | F 169 | G 11 | D 0 | EPS 0.776 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 170 | F 170 | G 11 | D 0 | EPS 0.775 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 171 | F 171 | G 11 | D 0 | EPS 0.773 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 172 | F 172 | G 11 | D 0 | EPS 0.772 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 173 | F 173 | G 11 | D 0 | EPS 0.771 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 174 | F 174 | G 11 | D 0 | EPS 0.769 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 175 | F 175 | G 11 | D 0 | EPS 0.768 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 176 | F 176 | G 11 | D 0 | EPS 0.767 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 177 | F 177 | G 11 | D 0 | EPS 0.765 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 178 | F 178 | G 11 | D 0 | EPS 0.764 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 179 | F 179 | G 11 | D 0 | EPS 0.763 | L 1.060 | R 1.000 | Avg L 0.006 | Avg R 0.091
U 180 | F 180 | G 12 | D 0 | EPS 0.761 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 181 | F 181 | G 12 | D 0 | EPS 0.760 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 182 | F 182 | G 12 | D 0 | EPS 0.759 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 183 | F 183 | G 12 | D 0 | EPS 0.757 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 184 | F 184 | G 12 | D 0 | EPS 0.756 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 185 | F 185 | G 12 | D 0 | EPS 0.755 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 186 | F 186 | G 12 | D 0 | EPS 0.753 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 187 | F 187 | G 12 | D 0 | EPS 0.752 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 188 | F 188 | G 12 | D 0 | EPS 0.751 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 189 | F 189 | G 12 | D 0 | EPS 0.749 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 190 | F 190 | G 12 | D 0 | EPS 0.748 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 191 | F 191 | G 12 | D 0 | EPS 0.747 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 192 | F 192 | G 12 | D 0 | EPS 0.745 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 193 | F 193 | G 12 | D 0 | EPS 0.744 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 194 | F 194 | G 12 | D 0 | EPS 0.743 | L 0.050 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 195 | F 195 | G 13 | D 0 | EPS 0.741 | L 1.030 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 196 | F 196 | G 13 | D 0 | EPS 0.740 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 197 | F 197 | G 13 | D 0 | EPS 0.739 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 198 | F 198 | G 13 | D 0 | EPS 0.737 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 199 | F 199 | G 13 | D 0 | EPS 0.736 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 200 | F 200 | G 13 | D 0 | EPS 0.735 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 201 | F 201 | G 13 | D 0 | EPS 0.733 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 202 | F 202 | G 13 | D 0 | EPS 0.732 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 203 | F 203 | G 13 | D 0 | EPS 0.731 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 204 | F 204 | G 13 | D 0 | EPS 0.729 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 205 | F 205 | G 13 | D 0 | EPS 0.728 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 206 | F 206 | G 13 | D 0 | EPS 0.727 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 207 | F 207 | G 13 | D 0 | EPS 0.725 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 208 | F 208 | G 13 | D 0 | EPS 0.724 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 209 | F 209 | G 13 | D 0 | EPS 0.723 | L 1.040 | R 1.000 | Avg L 0.005 | Avg R 0.077
U 210 | F 210 | G 14 | D 0 | EPS 0.721 | L 0.020 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 211 | F 211 | G 14 | D 0 | EPS 0.720 | L 0.040 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 212 | F 212 | G 14 | D 0 | EPS 0.719 | L 0.040 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 213 | F 213 | G 14 | D 0 | EPS 0.717 | L 0.040 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 214 | F 214 | G 14 | D 0 | EPS 0.716 | L 0.020 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 215 | F 215 | G 14 | D 0 | EPS 0.715 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 216 | F 216 | G 14 | D 0 | EPS 0.713 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 217 | F 217 | G 14 | D 0 | EPS 0.712 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 218 | F 218 | G 14 | D 0 | EPS 0.711 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 219 | F 219 | G 14 | D 0 | EPS 0.709 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 220 | F 220 | G 14 | D 0 | EPS 0.708 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 221 | F 221 | G 14 | D 0 | EPS 0.707 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 222 | F 222 | G 14 | D 0 | EPS 0.705 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 223 | F 223 | G 14 | D 0 | EPS 0.704 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 224 | F 224 | G 14 | D 0 | EPS 0.703 | L 0.030 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 225 | F 225 | G 15 | D 0 | EPS 0.701 | L -0.980 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 226 | F 226 | G 15 | D 0 | EPS 0.700 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 227 | F 227 | G 15 | D 0 | EPS 0.699 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 228 | F 228 | G 15 | D 0 | EPS 0.697 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 229 | F 229 | G 15 | D 0 | EPS 0.696 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 230 | F 230 | G 15 | D 0 | EPS 0.695 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 231 | F 231 | G 15 | D 0 | EPS 0.693 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 232 | F 232 | G 15 | D 0 | EPS 0.692 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 233 | F 233 | G 15 | D 0 | EPS 0.691 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 234 | F 234 | G 15 | D 0 | EPS 0.689 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
U 235 | F 235 | G 15 | D 0 | EPS 0.688 | L -0.970 | R -1.000 | Avg L -0.004 | Avg R -0.067
