update,frames,Games,duration,eps,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
87,87,5,0,0.9808888888888889,2.0,2,0.022988505747126436,0.4,2.0,2,0.0229885057471,0.4
88,88,5,0,0.9806666666666667,2.0,2,0.022727272727272728,0.4,2.0,2,0.0227272727273,0.4
89,89,5,0,0.9804444444444445,2.0,2,0.02247191011235955,0.4,2.0,2,0.0224719101124,0.4
90,90,6,0,0.9802222222222222,2.0,2,0.022222222222222223,0.3333333333333333,2.0,2,0.0222222222222,0.333333333333
91,91,6,0,0.98,2.0,2,0.02197802197802198,0.3333333333333333,2.0,2,0.021978021978,0.333333333333
92,92,6,0,0.9797777777777777,2.0,2,0.021739130434782608,0.3333333333333333,2.0,2,0.0217391304348,0.333333333333
93,93,6,0,0.9795555555555555,2.0,2,0.021505376344086023,0.3333333333333333,2.0,2,0.0215053763441,0.333333333333
94,94,6,0,0.9793333333333334,2.0,2,0.02127659574468085,0.3333333333333333,2.0,2,0.0212765957447,0.333333333333
95,95,6,0,0.9791111111111112,2.0,2,0.021052631578947368,0.3333333333333333,2.0,2,0.0210526315789,0.333333333333
96,96,6,0,0.9788888888888889,2.0,2,0.020833333333333332,0.3333333333333333,2.0,2,0.0208333333333,0.333333333333
97,97,6,0,0.9786666666666667,2.0,2,0.020618556701030927,0.3333333333333333,2.0,2,0.020618556701,0.333333333333
98,98,6,0,0.9784444444444444,2.0,2,0.02040816326530612,0.3333333333333333,2.0,2,0.0204081632653,0.333333333333
99,99,6,0,0.9782222222222222,2.0,2,0.020202020202020204,0.3333333333333333,2.0,2,0.020202020202,0.333333333333
100,100,6,0,0.978,2.0,2,0.02,0.3333333333333333,2.0,2,0.02,0.333333333333
101,101,6,0,0.9777777777777777,2.0,2,0.019801980198019802,0.3333333333333333,2.0,2,0.019801980198,0.333333333333
102,102,6,0,0.9775555555555555,2.0,2,0.0196078431372549,0.3333333333333333,2.0,2,0.0196078431373,0.333333333333
103,103,6,0,0.9773333333333334,2.0,2,0.019417475728155338,0.3333333333333333,2.0,2,0.0194174757282,0.333333333333
104,104,6,0,0.9771111111111112,2.0,2,0.019230769230769232,0.3333333333333333,2.0,2,0.0192307692308,0.333333333333
105,105,7,0,0.9768888888888889,2.0,2,0.01904761904761905,0.2857142857142857,2.0,2,0.0190476190476,0.285714285714
106,106,7,0,0.9766666666666667,2.0,2,0.018867924528301886,0.2857142857142857,2.0,2,0.0188679245283,0.285714285714
107,107,7,0,0.9764444444444444,2.0,2,0.018691588785046728,0.2857142857142857,2.0,2,0.018691588785,0.285714285714
108,108,7,0,0.9762222222222222,2.0,2,0.018518518518518517,0.2857142857142857,2.0,2,0.0185185185185,0.285714285714
109,109,7,0,0.976,2.0,2,0.01834862385321101,0.2857142857142857,2.0,2,0.0183486238532,0.285714285714
110,110,7,0,0.9757777777777777,2.0,2,0.01818181818181818,0.2857142857142857,2.0,2,0.0181818181818,0.285714285714
111,111,7,0,0.9755555555555555,2.0,2,0.018018018018018018,0.2857142857142857,2.0,2,0.018018018018,0.285714285714
112,112,7,0,0.9753333333333334,2.0,2,0.017857142857142856,0.2857142857142857,2.0,2,0.0178571428571,0.285714285714
113,113,7,0,0.9751111111111112,2.0,2,0.017699115044247787,0.2857142857142857,2.0,2,0.0176991150442,0.285714285714
114,114,7,0,0.9748888888888889,2.0,2,0.017543859649122806,0.2857142857142857,2.0,2,0.0175438596491,0.285714285714
115,115,7,0,0.9746666666666667,2.0,2,0.017391304347826087,0.2857142857142857,2.0,2,0.0173913043478,0.285714285714
116,116,7,0,0.9744444444444444,2.0,2,0.017241379310344827,0.2857142857142857,2.0,2,0.0172413793103,0.285714285714
117,117,7,0,0.9742222222222222,2.0,2,0.017094017094017096,0.2857142857142857,2.0,2,0.017094017094,0.285714285714
118,118,7,0,0.974,2.0,2,0.01694915254237288,0.2857142857142857,2.0,2,0.0169491525424,0.285714285714
119,119,7,0,0.9737777777777777,2.0,2,0.01680672268907563,0.2857142857142857,2.0,2,0.0168067226891,0.285714285714
120,120,8,0,0.9735555555555555,3.0,3,0.025,0.375,3.0,3,0.025,0.375
121,121,8,0,0.9733333333333334,3.0,3,0.024793388429752067,0.375,3.0,3,0.0247933884298,0.375
122,122,8,0,0.9731111111111111,2.9,3,0.023770491803278688,0.375,2.9,3,0.0237704918033,0.375
123,123,8,0,0.9728888888888889,2.9,3,0.02357723577235772,0.375,2.9,3,0.0235772357724,0.375
124,124,8,0,0.9726666666666667,2.9,3,0.02338709677419355,0.375,2.9,3,0.0233870967742,0.375
125,125,8,0,0.9724444444444444,2.9,3,0.0232,0.375,2.9,3,0.0232,0.375
126,126,8,0,0.9722222222222222,2.9,3,0.023015873015873014,0.375,2.9,3,0.0230158730159,0.375
127,127,8,0,0.972,2.9,3,0.02283464566929134,0.375,2.9,3,0.0228346456693,0.375
128,128,8,0,0.9717777777777777,2.9,3,0.02265625,0.375,2.9,3,0.02265625,0.375
129,129,8,0,0.9715555555555555,2.9,3,0.02248062015503876,0.375,2.9,3,0.022480620155,0.375
130,130,8,0,0.9713333333333334,2.9,3,0.022307692307692306,0.375,2.9,3,0.0223076923077,0.375
131,131,8,0,0.9711111111111111,3.0,3,0.022900763358778626,0.375,3.0,3,0.0229007633588,0.375
132,132,8,0,0.9708888888888889,3.01,3,0.0228030303030303,0.375,3.01,3,0.022803030303,0.375
133,133,8,0,0.9706666666666667,3.01,3,0.02263157894736842,0.375,3.01,3,0.0226315789474,0.375
134,134,8,0,0.9704444444444444,3.01,3,0.022462686567164176,0.375,3.01,3,0.0224626865672,0.375
135,135,9,0,0.9702222222222222,4.01,4,0.0297037037037037,0.4444444444444444,4.01,4,0.0297037037037,0.444444444444
136,136,9,0,0.97,4.0,4,0.029411764705882353,0.4444444444444444,4.0,4,0.0294117647059,0.444444444444
137,137,9,0,0.9697777777777777,4.1,4,0.02992700729927007,0.4444444444444444,4.1,4,0.0299270072993,0.444444444444
138,138,9,0,0.9695555555555555,4.1,4,0.02971014492753623,0.4444444444444444,4.1,4,0.0297101449275,0.444444444444
139,139,9,0,0.9693333333333334,4.1,4,0.02949640287769784,0.4444444444444444,4.1,4,0.0294964028777,0.444444444444
140,140,9,0,0.9691111111111111,4.1,4,0.029285714285714283,0.4444444444444444,4.1,4,0.0292857142857,0.444444444444
141,141,9,0,0.9688888888888889,4.1,4,0.02907801418439716,0.4444444444444444,4.1,4,0.0290780141844,0.444444444444
