main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 1100000 | F 1100000 | G 73333 | D 159 | EPS 0.001 | L 47312.915 | R 742.000 | Avg L 0.043 | Avg R 0.742
U 1110000 | F 1110000 | G 74000 | D 161 | EPS 0.001 | L 47778.186 | R 736.000 | Avg L 0.043 | Avg R 0.736
U 1120000 | F 1120000 | G 74666 | D 162 | EPS 0.001 | L 48239.928 | R 732.000 | Avg L 0.043 | Avg R 0.732
U 1130000 | F 1130000 | G 75333 | D 164 | EPS 0.001 | L 48710.081 | R 721.000 | Avg L 0.043 | Avg R 0.721
U 1140000 | F 1140000 | G 76000 | D 165 | EPS 0.001 | L 49195.794 | R 753.000 | Avg L 0.043 | Avg R 0.753
U 1150000 | F 1150000 | G 76666 | D 167 | EPS 0.001 | L 49662.107 | R 745.000 | Avg L 0.043 | Avg R 0.745
U 1160000 | F 1160000 | G 77333 | D 169 | EPS 0.001 | L 50124.222 | R 722.000 | Avg L 0.043 | Avg R 0.722
U 1170000 | F 1170000 | G 78000 | D 170 | EPS 0.001 | L 50584.887 | R 726.000 | Avg L 0.043 | Avg R 0.726
U 1180000 | F 1180000 | G 78666 | D 172 | EPS 0.001 | L 51048.745 | R 745.000 | Avg L 0.043 | Avg R 0.745
U 1190000 | F 1190000 | G 79333 | D 173 | EPS 0.001 | L 51516.890 | R 751.000 | Avg L 0.043 | Avg R 0.751
U 1200000 | F 1200000 | G 80000 | D 175 | EPS 0.001 | L 51964.993 | R 730.000 | Avg L 0.043 | Avg R 0.730
U 1210000 | F 1210000 | G 80666 | D 176 | EPS 0.001 | L 52458.977 | R 765.000 | Avg L 0.043 | Avg R 0.765
U 1220000 | F 1220000 | G 81333 | D 178 | EPS 0.001 | L 52954.144 | R 752.000 | Avg L 0.043 | Avg R 0.752
U 1230000 | F 1230000 | G 82000 | D 179 | EPS 0.001 | L 53410.898 | R 725.000 | Avg L 0.043 | Avg R 0.725
U 1240000 | F 1240000 | G 82666 | D 181 | EPS 0.001 | L 53910.314 | R 765.000 | Avg L 0.043 | Avg R 0.765
U 1250000 | F 1250000 | G 83333 | D 182 | EPS 0.001 | L 54388.335 | R 769.000 | Avg L 0.044 | Avg R 0.769
U 1260000 | F 1260000 | G 84000 | D 184 | EPS 0.001 | L 54863.385 | R 759.000 | Avg L 0.044 | Avg R 0.759
U 1270000 | F 1270000 | G 84666 | D 185 | EPS 0.001 | L 55336.882 | R 741.000 | Avg L 0.044 | Avg R 0.741
U 1280000 | F 1280000 | G 85333 | D 187 | EPS 0.001 | L 55821.605 | R 751.000 | Avg L 0.044 | Avg R 0.751
U 1290000 | F 1290000 | G 86000 | D 188 | EPS 0.001 | L 56298.501 | R 752.000 | Avg L 0.044 | Avg R 0.752
U 1300000 | F 1300000 | G 86666 | D 190 | EPS 0.001 | L 56762.575 | R 749.000 | Avg L 0.044 | Avg R 0.749
U 1310000 | F 1310000 | G 87333 | D 192 | EPS 0.001 | L 57238.666 | R 745.000 | Avg L 0.044 | Avg R 0.745
U 1320000 | F 1320000 | G 88000 | D 193 | EPS 0.001 | L 57685.016 | R 722.000 | Avg L 0.044 | Avg R 0.722
U 1330000 | F 1330000 | G 88666 | D 195 | EPS 0.001 | L 58127.680 | R 706.000 | Avg L 0.044 | Avg R 0.706
U 1340000 | F 1340000 | G 89333 | D 196 | EPS 0.001 | L 58613.023 | R 748.000 | Avg L 0.044 | Avg R 0.748
U 1350000 | F 1350000 | G 90000 | D 198 | EPS 0.001 | L 59067.535 | R 739.000 | Avg L 0.044 | Avg R 0.739
U 1360000 | F 1360000 | G 90666 | D 199 | EPS 0.001 | L 59517.607 | R 731.000 | Avg L 0.044 | Avg R 0.731
U 1370000 | F 1370000 | G 91333 | D 201 | EPS 0.001 | L 59971.807 | R 724.000 | Avg L 0.044 | Avg R 0.724
U 1380000 | F 1380000 | G 92000 | D 203 | EPS 0.001 | L 60438.609 | R 738.000 | Avg L 0.044 | Avg R 0.738
U 1390000 | F 1390000 | G 92666 | D 204 | EPS 0.001 | L 60906.425 | R 750.000 | Avg L 0.044 | Avg R 0.750
U 1400000 | F 1400000 | G 93333 | D 206 | EPS 0.001 | L 61391.732 | R 755.000 | Avg L 0.044 | Avg R 0.755
U 1410000 | F 1410000 | G 94000 | D 207 | EPS 0.001 | L 61875.085 | R 773.000 | Avg L 0.044 | Avg R 0.773
U 1420000 | F 1420000 | G 94666 | D 209 | EPS 0.001 | L 62355.992 | R 765.000 | Avg L 0.044 | Avg R 0.765
U 1430000 | F 1430000 | G 95333 | D 211 | EPS 0.001 | L 62815.508 | R 730.000 | Avg L 0.044 | Avg R 0.730
U 1440000 | F 1440000 | G 96000 | D 212 | EPS 0.001 | L 63285.321 | R 749.000 | Avg L 0.044 | Avg R 0.749
U 1450000 | F 1450000 | G 96666 | D 214 | EPS 0.001 | L 63747.008 | R 736.000 | Avg L 0.044 | Avg R 0.736
U 1460000 | F 1460000 | G 97333 | D 215 | EPS 0.001 | L 64210.628 | R 737.000 | Avg L 0.044 | Avg R 0.737
U 1470000 | F 1470000 | G 98000 | D 217 | EPS 0.001 | L 64663.625 | R 732.000 | Avg L 0.044 | Avg R 0.732
U 1480000 | F 1480000 | G 98666 | D 219 | EPS 0.001 | L 65120.157 | R 738.000 | Avg L 0.044 | Avg R 0.738
U 1490000 | F 1490000 | G 99333 | D 220 | EPS 0.001 | L 65591.654 | R 749.000 | Avg L 0.044 | Avg R 0.749
U 1500000 | F 1500000 | G 100000 | D 222 | EPS 0.001 | L 66060.084 | R 759.000 | Avg L 0.044 | Avg R 0.759
