main.py --seed 7

Namespace(algo='q-learning', convg=1e-05, env='tokens-v0', eps_final=0.001, eps_frames=1500, eps_start=1.0, frames=30000, games=500, gamma=1.0, log_interval=1, lr=0.1, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 45 | F 45 | G 14 | D 0 | EPS 0.971 | LR 0.09560 | L -9.015 | R 5.000 | Avg L -0.644 | Avg R 0.357
U 45 | F 45 | G 15 | D 0 | EPS 0.970 | LR 0.09550 | L -9.015 | R 6.000 | Avg L -0.601 | Avg R 0.400
U 46 | F 46 | G 15 | D 0 | EPS 0.970 | LR 0.09550 | L -9.015 | R 6.000 | Avg L -0.601 | Avg R 0.400
U 47 | F 47 | G 15 | D 0 | EPS 0.969 | LR 0.09540 | L -9.015 | R 6.000 | Avg L -0.601 | Avg R 0.400
U 48 | F 48 | G 15 | D 0 | EPS 0.969 | LR 0.09530 | L -9.015 | R 6.000 | Avg L -0.601 | Avg R 0.400
U 48 | F 48 | G 16 | D 0 | EPS 0.968 | LR 0.09520 | L -10.015 | R 6.000 | Avg L -0.626 | Avg R 0.375
U 49 | F 49 | G 16 | D 0 | EPS 0.968 | LR 0.09520 | L -10.015 | R 6.000 | Avg L -0.626 | Avg R 0.375
U 50 | F 50 | G 16 | D 0 | EPS 0.967 | LR 0.09510 | L -10.015 | R 6.000 | Avg L -0.626 | Avg R 0.375
U 51 | F 51 | G 16 | D 0 | EPS 0.967 | LR 0.09500 | L -10.015 | R 6.000 | Avg L -0.626 | Avg R 0.375
U 51 | F 51 | G 17 | D 0 | EPS 0.966 | LR 0.09490 | L -10.015 | R 7.000 | Avg L -0.589 | Avg R 0.412
U 52 | F 52 | G 17 | D 0 | EPS 0.966 | LR 0.09490 | L -10.015 | R 7.000 | Avg L -0.589 | Avg R 0.412
U 53 | F 53 | G 17 | D 0 | EPS 0.965 | LR 0.09480 | L -10.015 | R 7.000 | Avg L -0.589 | Avg R 0.412
U 54 | F 54 | G 17 | D 0 | EPS 0.965 | LR 0.09470 | L -10.015 | R 7.000 | Avg L -0.589 | Avg R 0.412
U 54 | F 54 | G 18 | D 0 | EPS 0.964 | LR 0.09460 | L -11.015 | R 7.000 | Avg L -0.612 | Avg R 0.389
U 55 | F 55 | G 18 | D 0 | EPS 0.964 | LR 0.09460 | L -11.015 | R 7.000 | Avg L -0.612 | Avg R 0.389
U 56 | F 56 | G 18 | D 0 | EPS 0.963 | LR 0.09450 | L -11.015 | R 7.000 | Avg L -0.612 | Avg R 0.389
U 57 | F 57 | G 18 | D 0 | EPS 0.963 | LR 0.09440 | L -11.015 | R 7.000 | Avg L -0.612 | Avg R 0.389
U 57 | F 57 | G 19 | D 0 | EPS 0.962 | LR 0.09430 | L -12.015 | R 7.000 | Avg L -0.632 | Avg R 0.368
U 58 | F 58 | G 19 | D 0 | EPS 0.962 | LR 0.09430 | L -12.015 | R 7.000 | Avg L -0.632 | Avg R 0.368
U 59 | F 59 | G 19 | D 0 | EPS 0.961 | LR 0.09420 | L -12.015 | R 7.000 | Avg L -0.632 | Avg R 0.368
U 60 | F 60 | G 19 | D 0 | EPS 0.961 | LR 0.09410 | L -12.015 | R 7.000 | Avg L -0.632 | Avg R 0.368
