main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=3000, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 207 | F 207 | G 13 | D 0 | EPS 0.725
U 208 | F 208 | G 13 | D 0 | EPS 0.724
U 209 | F 209 | G 13 | D 0 | EPS 0.723
U 210 | F 210 | G 14 | D 0 | EPS 0.721
U 211 | F 211 | G 14 | D 0 | EPS 0.720
U 212 | F 212 | G 14 | D 0 | EPS 0.719
U 213 | F 213 | G 14 | D 0 | EPS 0.717
U 214 | F 214 | G 14 | D 0 | EPS 0.716
U 215 | F 215 | G 14 | D 0 | EPS 0.715
U 216 | F 216 | G 14 | D 0 | EPS 0.713
U 217 | F 217 | G 14 | D 0 | EPS 0.712
U 218 | F 218 | G 14 | D 0 | EPS 0.711
U 219 | F 219 | G 14 | D 0 | EPS 0.709
U 220 | F 220 | G 14 | D 0 | EPS 0.708
U 221 | F 221 | G 14 | D 0 | EPS 0.707
U 222 | F 222 | G 14 | D 0 | EPS 0.705
U 223 | F 223 | G 14 | D 0 | EPS 0.704
U 224 | F 224 | G 14 | D 0 | EPS 0.703
U 225 | F 225 | G 15 | D 0 | EPS 0.701
U 226 | F 226 | G 15 | D 0 | EPS 0.700
U 227 | F 227 | G 15 | D 0 | EPS 0.699
U 228 | F 228 | G 15 | D 0 | EPS 0.697
U 229 | F 229 | G 15 | D 0 | EPS 0.696
U 230 | F 230 | G 15 | D 0 | EPS 0.695
U 231 | F 231 | G 15 | D 0 | EPS 0.693
U 232 | F 232 | G 15 | D 0 | EPS 0.692
U 233 | F 233 | G 15 | D 0 | EPS 0.691
U 234 | F 234 | G 15 | D 0 | EPS 0.689
U 235 | F 235 | G 15 | D 0 | EPS 0.688
U 236 | F 236 | G 15 | D 0 | EPS 0.687
U 237 | F 237 | G 15 | D 0 | EPS 0.685
U 238 | F 238 | G 15 | D 0 | EPS 0.684
U 239 | F 239 | G 15 | D 0 | EPS 0.683
U 240 | F 240 | G 16 | D 0 | EPS 0.681
U 241 | F 241 | G 16 | D 0 | EPS 0.680
U 242 | F 242 | G 16 | D 0 | EPS 0.679
U 243 | F 243 | G 16 | D 0 | EPS 0.677
U 244 | F 244 | G 16 | D 0 | EPS 0.676
U 245 | F 245 | G 16 | D 0 | EPS 0.675
U 246 | F 246 | G 16 | D 0 | EPS 0.673
U 247 | F 247 | G 16 | D 0 | EPS 0.672
U 248 | F 248 | G 16 | D 0 | EPS 0.671
U 249 | F 249 | G 16 | D 0 | EPS 0.669
U 250 | F 250 | G 16 | D 0 | EPS 0.668
U 251 | F 251 | G 16 | D 0 | EPS 0.667
U 252 | F 252 | G 16 | D 0 | EPS 0.665
U 253 | F 253 | G 16 | D 0 | EPS 0.664
U 254 | F 254 | G 16 | D 0 | EPS 0.663
U 255 | F 255 | G 17 | D 0 | EPS 0.661
U 256 | F 256 | G 17 | D 0 | EPS 0.660
U 257 | F 257 | G 17 | D 0 | EPS 0.659
U 258 | F 258 | G 17 | D 0 | EPS 0.657
U 259 | F 259 | G 17 | D 0 | EPS 0.656
U 260 | F 260 | G 17 | D 0 | EPS 0.655
U 261 | F 261 | G 17 | D 0 | EPS 0.653
U 262 | F 262 | G 17 | D 0 | EPS 0.652
U 263 | F 263 | G 17 | D 0 | EPS 0.651
U 264 | F 264 | G 17 | D 0 | EPS 0.649
U 265 | F 265 | G 17 | D 0 | EPS 0.648
U 266 | F 266 | G 17 | D 0 | EPS 0.647
U 267 | F 267 | G 17 | D 0 | EPS 0.645
U 268 | F 268 | G 17 | D 0 | EPS 0.644
U 269 | F 269 | G 17 | D 0 | EPS 0.643
U 270 | F 270 | G 18 | D 0 | EPS 0.641
U 271 | F 271 | G 18 | D 0 | EPS 0.640
U 272 | F 272 | G 18 | D 0 | EPS 0.639
U 273 | F 273 | G 18 | D 0 | EPS 0.637
U 274 | F 274 | G 18 | D 0 | EPS 0.636
U 275 | F 275 | G 18 | D 0 | EPS 0.635
U 276 | F 276 | G 18 | D 0 | EPS 0.633
U 277 | F 277 | G 18 | D 0 | EPS 0.632
U 278 | F 278 | G 18 | D 0 | EPS 0.631
U 279 | F 279 | G 18 | D 0 | EPS 0.629
U 280 | F 280 | G 18 | D 0 | EPS 0.628
U 281 | F 281 | G 18 | D 0 | EPS 0.627
U 282 | F 282 | G 18 | D 0 | EPS 0.625
U 283 | F 283 | G 18 | D 0 | EPS 0.624
U 284 | F 284 | G 18 | D 0 | EPS 0.623
U 285 | F 285 | G 19 | D 0 | EPS 0.621
U 286 | F 286 | G 19 | D 0 | EPS 0.620
U 287 | F 287 | G 19 | D 0 | EPS 0.619
U 288 | F 288 | G 19 | D 0 | EPS 0.617
U 289 | F 289 | G 19 | D 0 | EPS 0.616
U 290 | F 290 | G 19 | D 0 | EPS 0.615
U 291 | F 291 | G 19 | D 0 | EPS 0.613
U 292 | F 292 | G 19 | D 0 | EPS 0.612
U 293 | F 293 | G 19 | D 0 | EPS 0.611
U 294 | F 294 | G 19 | D 0 | EPS 0.609
U 295 | F 295 | G 19 | D 0 | EPS 0.608
U 296 | F 296 | G 19 | D 0 | EPS 0.607
U 297 | F 297 | G 19 | D 0 | EPS 0.605
U 298 | F 298 | G 19 | D 0 | EPS 0.604
U 299 | F 299 | G 19 | D 0 | EPS 0.603
U 300 | F 300 | G 20 | D 0 | EPS 0.601
U 301 | F 301 | G 20 | D 0 | EPS 0.600
U 302 | F 302 | G 20 | D 0 | EPS 0.599
U 303 | F 303 | G 20 | D 0 | EPS 0.597
U 304 | F 304 | G 20 | D 0 | EPS 0.596
U 305 | F 305 | G 20 | D 0 | EPS 0.595
U 306 | F 306 | G 20 | D 0 | EPS 0.593
U 307 | F 307 | G 20 | D 0 | EPS 0.592
U 308 | F 308 | G 20 | D 0 | EPS 0.591
U 309 | F 309 | G 20 | D 0 | EPS 0.589
U 310 | F 310 | G 20 | D 0 | EPS 0.588
U 311 | F 311 | G 20 | D 0 | EPS 0.587
U 312 | F 312 | G 20 | D 0 | EPS 0.585
U 313 | F 313 | G 20 | D 0 | EPS 0.584
U 314 | F 314 | G 20 | D 0 | EPS 0.583
U 315 | F 315 | G 21 | D 0 | EPS 0.581
U 316 | F 316 | G 21 | D 0 | EPS 0.580
U 317 | F 317 | G 21 | D 0 | EPS 0.579
U 318 | F 318 | G 21 | D 0 | EPS 0.577
U 319 | F 319 | G 21 | D 0 | EPS 0.576
U 320 | F 320 | G 21 | D 0 | EPS 0.575
U 321 | F 321 | G 21 | D 0 | EPS 0.573
U 322 | F 322 | G 21 | D 0 | EPS 0.572
U 323 | F 323 | G 21 | D 0 | EPS 0.571
U 324 | F 324 | G 21 | D 0 | EPS 0.569
U 325 | F 325 | G 21 | D 0 | EPS 0.568
U 326 | F 326 | G 21 | D 0 | EPS 0.567
U 327 | F 327 | G 21 | D 0 | EPS 0.565
U 328 | F 328 | G 21 | D 0 | EPS 0.564
U 329 | F 329 | G 21 | D 0 | EPS 0.563
U 330 | F 330 | G 22 | D 0 | EPS 0.561
U 331 | F 331 | G 22 | D 0 | EPS 0.560
U 332 | F 332 | G 22 | D 0 | EPS 0.559
U 333 | F 333 | G 22 | D 0 | EPS 0.557
U 334 | F 334 | G 22 | D 0 | EPS 0.556
U 335 | F 335 | G 22 | D 0 | EPS 0.555
U 336 | F 336 | G 22 | D 0 | EPS 0.553
U 337 | F 337 | G 22 | D 0 | EPS 0.552
U 338 | F 338 | G 22 | D 0 | EPS 0.551
U 339 | F 339 | G 22 | D 0 | EPS 0.549
U 340 | F 340 | G 22 | D 0 | EPS 0.548
U 341 | F 341 | G 22 | D 0 | EPS 0.547
U 342 | F 342 | G 22 | D 0 | EPS 0.545
U 343 | F 343 | G 22 | D 0 | EPS 0.544
U 344 | F 344 | G 22 | D 0 | EPS 0.543
U 345 | F 345 | G 23 | D 0 | EPS 0.541
U 346 | F 346 | G 23 | D 0 | EPS 0.540
U 347 | F 347 | G 23 | D 0 | EPS 0.539
U 348 | F 348 | G 23 | D 0 | EPS 0.537
U 349 | F 349 | G 23 | D 0 | EPS 0.536
U 350 | F 350 | G 23 | D 0 | EPS 0.535
U 351 | F 351 | G 23 | D 0 | EPS 0.533
U 352 | F 352 | G 23 | D 0 | EPS 0.532
U 353 | F 353 | G 23 | D 0 | EPS 0.531
U 354 | F 354 | G 23 | D 0 | EPS 0.529
U 355 | F 355 | G 23 | D 0 | EPS 0.528
U 356 | F 356 | G 23 | D 0 | EPS 0.527
U 357 | F 357 | G 23 | D 0 | EPS 0.525
U 358 | F 358 | G 23 | D 0 | EPS 0.524
U 359 | F 359 | G 23 | D 0 | EPS 0.523
U 360 | F 360 | G 24 | D 0 | EPS 0.521
U 361 | F 361 | G 24 | D 0 | EPS 0.520
U 362 | F 362 | G 24 | D 0 | EPS 0.519
U 363 | F 363 | G 24 | D 0 | EPS 0.517
U 364 | F 364 | G 24 | D 0 | EPS 0.516
U 365 | F 365 | G 24 | D 0 | EPS 0.515
U 366 | F 366 | G 24 | D 0 | EPS 0.513
U 367 | F 367 | G 24 | D 0 | EPS 0.512
U 368 | F 368 | G 24 | D 0 | EPS 0.511
U 369 | F 369 | G 24 | D 0 | EPS 0.509
U 370 | F 370 | G 24 | D 0 | EPS 0.508
U 371 | F 371 | G 24 | D 0 | EPS 0.507
U 372 | F 372 | G 24 | D 0 | EPS 0.505
U 373 | F 373 | G 24 | D 0 | EPS 0.504
U 374 | F 374 | G 24 | D 0 | EPS 0.503
U 375 | F 375 | G 25 | D 0 | EPS 0.501
U 376 | F 376 | G 25 | D 0 | EPS 0.500
U 377 | F 377 | G 25 | D 0 | EPS 0.499
U 378 | F 378 | G 25 | D 0 | EPS 0.497
U 379 | F 379 | G 25 | D 0 | EPS 0.496
U 380 | F 380 | G 25 | D 0 | EPS 0.495
U 381 | F 381 | G 25 | D 0 | EPS 0.493
U 382 | F 382 | G 25 | D 0 | EPS 0.492
U 383 | F 383 | G 25 | D 0 | EPS 0.491
U 384 | F 384 | G 25 | D 0 | EPS 0.489
U 385 | F 385 | G 25 | D 0 | EPS 0.488
U 386 | F 386 | G 25 | D 0 | EPS 0.487
U 387 | F 387 | G 25 | D 0 | EPS 0.485
U 388 | F 388 | G 25 | D 0 | EPS 0.484
U 389 | F 389 | G 25 | D 0 | EPS 0.483
U 390 | F 390 | G 26 | D 0 | EPS 0.481
U 391 | F 391 | G 26 | D 0 | EPS 0.480
U 392 | F 392 | G 26 | D 0 | EPS 0.479
U 393 | F 393 | G 26 | D 0 | EPS 0.477
U 394 | F 394 | G 26 | D 0 | EPS 0.476
U 395 | F 395 | G 26 | D 0 | EPS 0.475
U 396 | F 396 | G 26 | D 0 | EPS 0.473
U 397 | F 397 | G 26 | D 0 | EPS 0.472
U 398 | F 398 | G 26 | D 0 | EPS 0.471
U 399 | F 399 | G 26 | D 0 | EPS 0.469
U 400 | F 400 | G 26 | D 0 | EPS 0.468
U 401 | F 401 | G 26 | D 0 | EPS 0.467
U 402 | F 402 | G 26 | D 0 | EPS 0.465
U 403 | F 403 | G 26 | D 0 | EPS 0.464
U 404 | F 404 | G 26 | D 0 | EPS 0.463
U 405 | F 405 | G 27 | D 0 | EPS 0.461
U 406 | F 406 | G 27 | D 0 | EPS 0.460
U 407 | F 407 | G 27 | D 0 | EPS 0.459
U 408 | F 408 | G 27 | D 0 | EPS 0.457
U 409 | F 409 | G 27 | D 0 | EPS 0.456
U 410 | F 410 | G 27 | D 0 | EPS 0.455
U 411 | F 411 | G 27 | D 0 | EPS 0.453
U 412 | F 412 | G 27 | D 0 | EPS 0.452
U 413 | F 413 | G 27 | D 0 | EPS 0.451
U 414 | F 414 | G 27 | D 0 | EPS 0.449
U 415 | F 415 | G 27 | D 0 | EPS 0.448
U 416 | F 416 | G 27 | D 0 | EPS 0.447
U 417 | F 417 | G 27 | D 0 | EPS 0.445
U 418 | F 418 | G 27 | D 0 | EPS 0.444
U 419 | F 419 | G 27 | D 0 | EPS 0.443
U 420 | F 420 | G 28 | D 0 | EPS 0.441
U 421 | F 421 | G 28 | D 0 | EPS 0.440
U 422 | F 422 | G 28 | D 0 | EPS 0.439
U 423 | F 423 | G 28 | D 0 | EPS 0.437
U 424 | F 424 | G 28 | D 0 | EPS 0.436
U 425 | F 425 | G 28 | D 0 | EPS 0.435
U 426 | F 426 | G 28 | D 0 | EPS 0.433
